Fetching supported pairs from Indodax...
Found 485 pairs:
Ticker ID       | Description          | Base Currency | Traded Currency
rlc_idr         | RLC/IDR              | idr        | rlc       
render_idr      | RENDER/IDR           | idr        | render    
root_idr        | ROOT/IDR             | idr        | root      
rpl_idr         | RPL/IDR              | idr        | rpl       
rsr_idr         | RSR/IDR              | idr        | rsr       
rss3_idr        | RSS3/IDR             | idr        | rss3      
rvm_idr         | RVM/IDR              | idr        | rvm       
rvn_idr         | RVN/IDR              | idr        | rvn       
sand_idr        | SAND/IDR             | idr        | sand      
safe_idr        | SAFE/IDR             | idr        | safe      
sahara_idr      | SAHARA/IDR           | idr        | sahara    
sfi_idr         | SFI/IDR              | idr        | sfi       
sfp_idr         | SFP/IDR              | idr        | sfp       
sgt_idr         | SGT/IDR              | idr        | sgt       
shan_idr        | SHAN/IDR             | idr        | shan      
shib_idr        | SHIB/IDR             | idr        | shib      
shell_idr       | SHELL/IDR            | idr        | shell     
shred_idr       | SHRED/IDR            | idr        | shred     
sign_idr        | SIGN/IDR             | idr        | sign      
skl_idr         | SKL/IDR              | idr        | skl       
sky_idr         | SKY/IDR              | idr        | sky       
skya_idr        | SKYA/IDR             | idr        | skya      
slerf_idr       | SLERF/IDR            | idr        | slerf     
slp_idr         | SLP/IDR              | idr        | slp       
snt_idr         | SNT/IDR              | idr        | snt       
snx_idr         | SNX/IDR              | idr        | snx       
sol_idr         | SOL/IDR              | idr        | sol       
solayer_idr     | SOLAYER/IDR          | idr        | solayer   
solv_idr        | SOLV/IDR             | idr        | solv      
somi_idr        | SOMI/IDR             | idr        | somi      
soon_idr        | SOON/IDR             | idr        | soon      
spell_idr       | SPELL/IDR            | idr        | spell     
spk_idr         | SPK/IDR              | idr        | spk       
spx_idr         | SPX/IDR              | idr        | spx       
sqd_idr         | SQD/IDR              | idr        | sqd       
srm_idr         | SRM/IDR              | idr        | srm       
ssv_idr         | SSV/IDR              | idr        | ssv       
stg_idr         | STG/IDR              | idr        | stg       
stik_idr        | STIK/IDR             | idr        | stik      
sto_idr         | STO/IDR              | idr        | sto       
storj_idr       | STORJ/IDR            | idr        | storj     
strk_idr        | STRK/IDR             | idr        | strk      
stream_idr      | STREAM/IDR           | idr        | stream    
strm_idr        | STRM/IDR             | idr        | strm      
sui_idr         | SUI/IDR              | idr        | sui       
sun_idr         | SUN/IDR              | idr        | sun       
sundog_idr      | SUNDOG/IDR           | idr        | sundog    
superverse_idr  | SUPER/IDR            | idr        | superverse
sushi_idr       | SUSHI/IDR            | idr        | sushi     
sxt_idr         | SXT/IDR              | idr        | sxt       
syn_idr         | SYN/IDR              | idr        | syn       
syrup_idr       | SYRUP/IDR            | idr        | syrup     
taiko_idr       | TAIKO/IDR            | idr        | taiko     
tel_idr         | TEL/IDR              | idr        | tel       
ten_idr         | TEN/IDR              | idr        | ten       
tfuel_idr       | TFUEL/IDR            | idr        | tfuel     
theta_idr       | THETA/IDR            | idr        | theta     
threshold_idr   | T/IDR                | idr        | threshold 
tia_idr         | TIA/IDR              | idr        | tia       
tlm_idr         | TLM/IDR              | idr        | tlm       
tmg_idr         | TMG/IDR              | idr        | tmg       
tnsr_idr        | TNSR/IDR             | idr        | tnsr      
token_idr       | TOKEN/IDR            | idr        | token     
toko_idr        | TOKO/IDR             | idr        | toko      
ton_idr         | TON/IDR              | idr        | ton       
toshi_idr       | TOSHI/IDR            | idr        | toshi     
trb_idr         | TRB/IDR              | idr        | trb       
trollsol_idr    | TROLLSOL/IDR         | idr        | trollsol  
trump_idr       | TRUMP/IDR            | idr        | trump     
trx_idr         | TRX/IDR              | idr        | trx       
turbo_idr       | TURBO/IDR            | idr        | turbo     
tusd_idr        | TUSD/IDR             | idr        | tusd      
twelve_idr      | TWELVE/IDR           | idr        | twelve    
ucjl_idr        | UCJL/IDR             | idr        | ucjl      
uma_idr         | UMA/IDR              | idr        | uma       
uni_idr         | UNI/IDR              | idr        | uni       
unmd_idr        | UNMD/IDR             | idr        | unmd      
usdc_idr        | USDC/IDR             | idr        | usdc      
usdt_idr        | USDT/IDR             | idr        | usdt      
useless_idr     | USELESS/IDR          | idr        | useless   
uw3s_idr        | UW3S/IDR             | idr        | uw3s      
vanry_idr       | VANRY/IDR            | idr        | vanry     
vbg_idr         | VBG/IDR              | idr        | vbg       
vcg_idr         | VCG/IDR              | idr        | vcg       
velo_idr        | VELO/IDR             | idr        | velo      
velodrome_idr   | VELOFIN/IDR          | idr        | velodrome 
vet_idr         | VET/IDR              | idr        | vet       
vex_idr         | VEX/IDR              | idr        | vex       
vine_idr        | VINE/IDR             | idr        | vine      
virtuals_idr    | VIRTUAL/IDR          | idr        | virtuals  
voxel_idr       | VOXEL/IDR            | idr        | voxel     
vra_idr         | VRA/IDR              | idr        | vra       
vsys_idr        | VSYS/IDR             | idr        | vsys      
vvv_idr         | VVV/IDR              | idr        | vvv       
w3f_idr         | W3F/IDR              | idr        | w3f       
w3s2_idr        | W3S/IDR              | idr        | w3s2      
waves_idr       | WAVES/IDR            | idr        | waves     
wbtc_idr        | WBTC/IDR             | idr        | wbtc      
wct_idr         | WCT/IDR              | idr        | wct       
wif_idr         | WIF/IDR              | idr        | wif       
wld_idr         | WLD/IDR              | idr        | wld       
wlfi_idr        | WLFI/IDR             | idr        | wlfi      
wnxm_idr        | WNXM/IDR             | idr        | wnxm      
woo_idr         | WOO/IDR              | idr        | woo       
wormhole_idr    | W/IDR                | idr        | wormhole  
wozx_idr        | WOZX/IDR             | idr        | wozx      
wtec_idr        | WTEC/IDR             | idr        | wtec      
xaut_idr        | XAUT/IDR             | idr        | xaut      
xcn_idr         | XCN/IDR              | idr        | xcn       
xdc_idr         | XDC/IDR              | idr        | xdc       
xgd_idr         | XGD/IDR              | idr        | xgd       
xem_idr         | XEM/IDR              | idr        | xem       
xlm_idr         | XLM/IDR              | idr        | xlm       
wemix_idr       | WEMIX/IDR            | idr        | wemix     
xr_idr          | XR/IDR               | idr        | xr        
xrp_idr         | XRP/IDR              | idr        | xrp       
xtz_idr         | XTZ/IDR              | idr        | xtz       
xvs_idr         | XVS/IDR              | idr        | xvs       
yfi_idr         | YFI/IDR              | idr        | yfi       
yfii_idr        | YFII/IDR             | idr        | yfii      
ygg_idr         | YGG/IDR              | idr        | ygg       
zerebro_idr     | ZEREBRO/IDR          | idr        | zerebro   
zeta_idr        | ZETA/IDR             | idr        | zeta      
zil_idr         | ZIL/IDR              | idr        | zil       
zkc_idr         | ZKC/IDR              | idr        | zkc       
zkj_idr         | ZKJ/IDR              | idr        | zkj       
zkwasm_idr      | ZKWASM/IDR           | idr        | zkwasm    
zora_idr        | ZORA/IDR             | idr        | zora      
zro_idr         | ZRO/IDR              | idr        | zro       
zrx_idr         | ZRX/IDR              | idr        | zrx       
btc_usdt        | BTC/USDT             | usdt       | btc       
bonk_usdt       | BONK/USDT            | usdt       | bonk      
btt_usdt        | BTT/USDT             | usdt       | btt       
eth_usdt        | ETH/USDT             | usdt       | eth       
floki_usdt      | FLOKI/USDT           | usdt       | floki     
gict_usdt       | GICT/USDT            | usdt       | gict      
idx_usdt        | IDRX/USDT            | usdt       | idx       
kin_usdt        | KIN/USDT             | usdt       | kin       
lunc_usdt       | LUNC/USDT            | usdt       | lunc      
pepe_usdt       | PEPE/USDT            | usdt       | pepe      
pundix_usdt     | PUNDIX/USDT          | usdt       | pundix    
shib_usdt       | SHIB/USDT            | usdt       | shib      
xec_usdt        | XEC/USDT             | usdt       | xec       
vcg_usdt        | VCG/USDT             | usdt       | vcg       
volt_usdt       | VOLT/USDT            | usdt       | volt      
